file,doi
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1001/jamainternmed.2016.0004
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1002/14651858.cd000335.pub2
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1002/14651858.cd000963.pub3
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1002/14651858.cd003010.pub5
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1002/14651858.cd007612.pub2
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1002/14651858.cd009790.pub2
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1002/ejp.70090
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1002/jor.20415
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1002/pri.2118
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1007/bf00268043
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1007/bf00268173
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1007/bf01742729
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/j.apmr.2015.10.009
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/j.cpr.2024.102449
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/j.ejpain.2003.09.002
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/j.jbmt.2011.02.003
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/j.msksp.2024.103132
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/j.rsma.2024.103638
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/j.seppur.2024.128370
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/s0140-6736(05
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/s0140-6736(0566374-2
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/s0140-6736(17
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/s0140-6736(1730460-x
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/s0140-6736(18
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/s0140-6736(19
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/s0140-6736(1930417-9
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/s0140-6736(23
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/s0140-6736(2300441-5
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1038/s41598-024-68192-2
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1056/nejm199502093320602
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1093/milmed/usae080
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1093/nutrit/nuae058
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1093/ptj/pzaa028
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1093/ptj/pzaa231
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1097/01.brs.0000146464.23007.2a
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1097/01.brs.0000214884.18502.93
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1097/ajp.0000000000000251
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1097/bpo.0000000000002779
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1097/brs.0000000000005128
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1111/pme.12052
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bjsm.2011.084079
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bjsm.36.6.392
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bjsports-2016-096458
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bjsports-2017-098983
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bjsports-2018-099198
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bjsports-2018-099747
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bjsports-2020-102250
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bmj.f7095
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bmj.l540
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bmj.l689
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bmjopen-2023-080646
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1148/radiology.200.3.8756939
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.11591/edulearn.v19i1.21209
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.11591/edulearn.v19i1.21853
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1177/03635465231175151
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1186/s12891-024-07667-9
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1186/s13023-015-0322-x
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1196/annals.1351.019
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.12982/jams.2024.050
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1371/journal.pone.0178621
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1371/journal.pone.0306993
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.20944/preprints202406.1887.v1
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.21474/ijar01/18894
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.2302/kjm.32.59
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.2519/jospt.2015.5987
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.2519/jospt.2018.0608
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.2519/jospt.2021.0105
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.2519/jospt.2022.10698
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.25259/jassm_26_2024
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.3174/ajnr.a4173
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.32382/fis.v16i1.725
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.3389/fmed.2024.1433070
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.3389/fphar.2022.811962
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.3390/jcm12237416
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.3390/jcm13164781
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.3390/life14060754
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.3390/life14080936
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.35975/apic.v28i3.2459
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.4103/sni.sni_359_17
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.4314/tjpr.v23i5.13
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.52403/ijrr.20240805
c:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.5705/ss.202021.0387
