id,doi_url,title,path
evidence_imagerie_degenerative_asymptomatique_10_31851_indiktika_v7i2_20054,https://doi.org/10.31851/indiktika.v7i2.20054,Trends and Strategies in Implementing RME and PJBL for Teaching Central Tendency: A Systematic Literature Review,evidence/evidence_imagerie_degenerative_asymptomatique_10_31851_indiktika_v7i2_20054.md
evidence_import_refs_2025_09_11_10_1002_pri_2118,https://doi.org/10.1002/pri.2118,Prefabricated contoured foot orthoses to reduce pain and increase physical activity in people with hip osteoarthritis: A randomised feasibility trial,evidence/evidence_import_refs_2025_09_11_10_1002_pri_2118.md
evidence_import_refs_2025_09_11_10_1007_bf00268043,https://doi.org/10.1007/bf00268043,The anatomical pattern of gonarthrosis in Saudi Arabia,evidence/evidence_import_refs_2025_09_11_10_1007_bf00268043.md
evidence_import_refs_2025_09_11_10_1007_bf00268173,https://doi.org/10.1007/bf00268173,Rotational alignment of the lower limb in osteoarthritis of the knee,evidence/evidence_import_refs_2025_09_11_10_1007_bf00268173.md
evidence_import_refs_2025_09_11_10_1007_bf01742729,https://doi.org/10.1007/bf01742729,Résultats des prothèses unicompartimentales PCA du genou,evidence/evidence_import_refs_2025_09_11_10_1007_bf01742729.md
evidence_import_refs_2025_09_11_10_1016_j_apmr_2015_10_009,https://doi.org/10.1016/j.apmr.2015.10.009,WITHDRAWN,evidence/evidence_import_refs_2025_09_11_10_1016_j_apmr_2015_10_009.md
evidence_import_refs_2025_09_11_10_1016_j_cpr_2024_102449,https://doi.org/10.1016/j.cpr.2024.102449,"The influence of threat on visuospatial perception, affordances, and protective behaviour: A systematic review and meta-analysis",evidence/evidence_import_refs_2025_09_11_10_1016_j_cpr_2024_102449.md
evidence_import_refs_2025_09_11_10_1016_j_ejpain_2003_09_002,https://doi.org/10.1016/j.ejpain.2003.09.002,Role of spinal 5‐HT<sub>1A</sub> receptors in morphine analgesia and tolerance in rats,evidence/evidence_import_refs_2025_09_11_10_1016_j_ejpain_2003_09_002.md
evidence_import_refs_2025_09_11_10_1093_nutrit_nuae058,https://doi.org/10.1093/nutrit/nuae058,Effects of cinnamon supplementation on metabolic biomarkers in individuals with type 2 diabetes: a systematic review and meta-analysis,evidence/evidence_import_refs_2025_09_11_10_1093_nutrit_nuae058.md
evidence_import_refs_2025_09_11_10_1097_bpo_0000000000002779,https://doi.org/10.1097/bpo.0000000000002779,Efficacy of a Multimodal Surgical Site Injection for Postoperative Pain Control in Pediatric Patients With Cerebral Palsy Undergoing Hip Reconstruction: A Randomized Controlled Trial,evidence/evidence_import_refs_2025_09_11_10_1097_bpo_0000000000002779.md
evidence_import_refs_2025_09_11_10_1097_brs_0000000000005128,https://doi.org/10.1097/brs.0000000000005128,"Letter to the Editor Concerning “The Role of Liposomal Bupivacaine in Multimodal Pain Management Following Posterior Spinal Fusion for Adolescent Idiopathic Scoliosis” by Changoor, Giakas, et al",evidence/evidence_import_refs_2025_09_11_10_1097_brs_0000000000005128.md
evidence_import_refs_2025_09_11_10_1111_pme_12052,https://doi.org/10.1111/pme.12052,"Not a Placebo, but Is It Effective?",evidence/evidence_import_refs_2025_09_11_10_1111_pme_12052.md
evidence_import_refs_2025_09_11_10_1136_bmj_f7095,https://doi.org/10.1136/bmj.f7095,Red flags to screen for malignancy and fracture in patients with low back pain: systematic review,evidence/evidence_import_refs_2025_09_11_10_1136_bmj_f7095.md
evidence_import_refs_2025_09_11_10_1136_bmj_l540,https://doi.org/10.1136/bmj.l540,"Improve scheduling to perform an extra 291 000 elective operations a year, trusts are told",evidence/evidence_import_refs_2025_09_11_10_1136_bmj_l540.md
evidence_import_refs_2025_09_11_10_1136_bmj_l689,https://doi.org/10.1136/bmj.l689,Benefits and harms of spinal manipulative therapy for the treatment of chronic low back pain: systematic review and meta-analysis of randomised controlled trials,evidence/evidence_import_refs_2025_09_11_10_1136_bmj_l689.md
evidence_import_refs_2025_09_11_10_1148_radiology_200_3_8756939,https://doi.org/10.1148/radiology.200.3.8756939,"Patellar tendinosis (jumper's knee): findings at histopathologic examination, US, and MR imaging. Victorian Institute of Sport Tendon Study Group.",evidence/evidence_import_refs_2025_09_11_10_1148_radiology_200_3_8756939.md
evidence_import_refs_2025_09_11_10_11591_edulearn_v19i1_21853,https://doi.org/10.11591/edulearn.v19i1.21853,An analysis of first years senior high school students' mental models: a case study on the concept of straight motion,evidence/evidence_import_refs_2025_09_11_10_11591_edulearn_v19i1_21853.md
evidence_import_refs_2025_09_11_10_1186_s13023_015_0322_x,https://doi.org/10.1186/s13023-015-0322-x,Meier-Gorlin syndrome,evidence/evidence_import_refs_2025_09_11_10_1186_s13023_015_0322_x.md
